institute_id,name,link,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-C-18154,University College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18154.pdf,58.25,10.41,59.54,50.97,1.63,Kakinada,Andhra Pradesh,37.77,97
IR-E-U-0189,National Institute of Technology Hamirpur,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0189.pdf,45.32,22.62,60.94,45.84,5.69,Hamirpur,Himachal Pradesh,37.73,98
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-35417.pdf,54.62,3.35,65.4,66.06,6.18,Pune,Maharashtra,37.71,99
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0267.pdf,45.99,17.51,62.35,53.2,7.59,Gwalior,Madhya Pradesh,37.6,100
IR-E-C-27058,Mepco Schlenk Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-27058.pdf,49.72,18.31,52.51,47.18,18.86,Sivakasi,Tamil Nadu,37.52,101
IR-E-U-0507,Dayalbagh Educational Institute,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0507.pdf,61.29,7.89,52.51,53.47,8.95,Agra,Uttar Pradesh,37.51,102
IR-E-U-0516,Indian Institute of Information Technology Allahabad,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0516.pdf,42.8,15.69,68.87,44.19,16.69,Prayagraj (Allahabad),Uttar Pradesh,37.41,103
IR-E-U-0382,Punjab Technical University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0382.pdf,68.53,31.0,13.06,43.6,2.69,Kapurthala,Punjab,37.1,104
IR-E-C-36975,Government College of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36975.pdf,53.25,9.94,51.64,53.9,24.15,Coimbatore,Tamil Nadu,37.1,104
IR-E-C-16626,Rajalakshmi Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16626.pdf,62.19,4.51,57.76,51.77,2.69,Chennai,Tamil Nadu,37.01,106
IR-E-U-0454,Hindustan Institute of Technology  and Science (HITS),https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0454.pdf,59.79,11.96,46.62,56.11,5.21,Chennai,Tamil Nadu,36.98,107
IR-E-C-16547,Sri Sairam Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16547.pdf,57.03,6.36,58.74,58.23,3.2,Kancheepuram,Tamil Nadu,36.91,108
IR-E-C-42054,Army Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-42054.pdf,54.68,2.33,64.18,62.39,6.65,Pune,Maharashtra,36.85,109
IR-E-U-0163,The Northcap University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0163.pdf,54.88,13.94,56.91,48.16,0.0,Gurgaon,Haryana,36.84,110
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0130.pdf,47.25,10.86,68.33,49.81,7.12,Gandhinagar,Gujarat,36.8,111
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0190.pdf,53.75,22.22,46.02,47.26,0.0,Solan,Himachal Pradesh,36.72,112
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Management,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18886.pdf,60.35,5.29,56.88,51.33,4.22,Nagpur,Maharashtra,36.62,113
IR-E-C-1371,New Horizon College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1371.pdf,55.94,5.26,63.07,55.65,0.55,Bengaluru,Karnataka,36.6,114
IR-E-U-0186,Jaypee University of Information Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0186.pdf,48.53,18.76,54.81,46.44,7.59,Solan,Himachal Pradesh,36.55,115
IR-E-U-0143,Maharaja Sayajirao University of Baroda,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0143.pdf,57.31,13.41,51.16,47.33,3.71,Vadodara,Gujarat,36.54,116
IR-E-U-0223,Jain University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0223.pdf,49.08,23.49,46.44,53.2,1.1,Bengluru,Karnataka,36.49,117
IR-E-U-0043,"Vignan's Foundation for Science, Technology & Research",https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0043.pdf,59.21,8.03,49.36,57.2,5.21,Guntur,Andhra Pradesh,36.28,118
IR-E-U-0367,Veer Surendra Sai University of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0367.pdf,51.53,19.97,47.54,46.54,5.21,Burla,Odisha,36.13,119
IR-E-U-0175,YMCA University of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0175.pdf,60.17,6.39,55.19,47.37,1.63,Faridabad,Haryana,35.91,120
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & Management",https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-S-8898.pdf,53.96,3.72,59.1,64.06,1.1,Sonipat,Haryana,35.65,121
IR-E-C-6581,Pondicherry Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6581.pdf,55.46,15.73,43.96,40.61,12.79,Puducherry,Pondicherry,35.49,122
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0445.pdf,62.25,8.72,45.67,45.18,4.72,Chennai,Tamil Nadu,35.41,123
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-25622.pdf,57.82,2.01,57.52,50.22,8.5,Hyderabad,Telangana,35.32,124
IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-33773.pdf,53.58,7.74,59.93,46.69,2.16,Mumbai,Maharashtra,35.27,125
IR-E-C-1413,Dayananda Sagar College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1413.pdf,51.56,6.69,57.99,54.63,5.69,Bengaluru,Karnataka,35.11,126
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19667.pdf,62.78,6.38,44.97,50.33,2.16,Hyderabad,Telangana,34.99,127
IR-E-C-1352,Nitte Meenakshi Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1352.pdf,58.44,6.1,49.4,53.09,4.22,Bengaluru,Karnataka,34.97,128
